answer_text,word_count,dream_entry_title,date,respondent,survey,"Sex Assigned at Birth","Typical Dreams: Falling","Age Range",Age,"ZIP Code","Income Tier","Income (values)",Race/Ethnicity,"Education Level","Education Level (values)","Race/Ethnicity (values)",Region,"College Degree","Race Recode","Political Ideology","Political Ideology 2","Religious Affiliation A","Born Again Christian","Marital status","Marital Status A",<none>,"Coffee drinkers at home","<BR>Do you or anyone in your household brew any of the coffee consumed at home on a Keurig single brew (k-cup) machine?","Religious Worship A","Tea Party Views","Passport Ownership","US State of Residence",ID,"Political Party x Race/Ethnicity","Marital Status & Gender",TIME,Total,"Would you be interested in speaking with a reporter about the results of this survey?","More Spiritual Than Religious","Insomnia Nights Per Week A",Likelihood,"Ideology Recoded","Typical Dreams: Flying",DATE1,DATE2,Generation,"Earliest Remembered Dream: Recurrent","2008 President","Hours of sleep per night","Typical Dreams: Sexual","Parent of a young child","Would you be interested in participating in an interactive online focus group in the future?","Sexual Dreams Before Waking Sexual Activity","Typical Dreams: Just Like Waking Life","Typical Dreams: Awareness","Typical Dreams: Control","Most Recent Dream: Recurrent","Worst Nightmare: Recurrent",Registered,"2008 Presidential Vote","Political Party","Dream Recall","2008 results","Nightmare Recall",Party,"Talking About Dreams","Typical Dreams: Visitation","Typical Dreams: Being Chased or Attacked","Race/Ethnicity D"
"family member dying",3,"Dream Text: Worst Nightmare",2010-08-03T05:14:00+00:00,zogby_052110:32271,"2010 Demographic Survey",Male,Yes,35-49,45-64,91913,"High income",$100+,White,"College Degree",Col+,White,West,"College Degree+",1,VCons,"Extremely conservative",Protestant,No/NS,Married,Married,49.00,Yes,No,Rarely,"Very important",Yes,California,"80,139","White Rep","Married Male","52,784",Total,No,Yes,0,"Very likely",Conservative,Yes,22,22,Woodstockers,,McCain,7,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,McCain,Republican,"Almost every morning or more often",McCain,"Less than once a month",Republican,"Less than once a month",Yes,No,No/NS
"Same dream I just explained from childhood.",7,"Dream Text: Worst Nightmare",2010-08-03T05:14:19+00:00,zogby_052110:34562,"2010 Demographic Survey",Male,"Not sure",35-49,45-64,30004,"Upper-middle income",$75-100K,White,"Some College",SomeCol,White,South,"No College Degree",1,Mod,6,Protestant,No/NS,Married,Married,47.00,Yes,No,1-2/Mo,"Not Important",Yes,Georgia,"1,028,107","White Ind","Married Male","52,774",Total,Yes,Yes,0,"Very likely",Moderate,"Not sure",22,22,Woodstockers,No,McCain,7,Yes,No,,"Not sure","Not sure",No,"Not sure",,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Less often than once a month",McCain,Never,Independent,Never,"Not sure","Not sure",No/NS
"Fall, Fall,Falling",3,"Dream Text: Worst Nightmare",2010-08-03T05:14:40+00:00,zogby_052110:37140,"2010 Demographic Survey",Female,Yes,50-64,45-64,95821,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,West,"College Degree+",1,Mod,4,Catholic,,Married,Married,63.00,Yes,No,Rarely,"Not Important",No/NS,California,"977,427","White Dem","Married Female","53,002",Total,"Not sure",Yes,3,"Very likely",Moderate,No,22,22,Woodstockers,Yes,McCain,8,Yes,No,,No,Yes,Yes,"Not sure",,Yes,Yes,McCain,Democratic,"Less often than once a month",McCain,"Less than once a month",Democratic,"Not sure",No,Yes,No/NS
"I don't remember much detail but it has to do with being buried alive.",14,"Dream Text: Worst Nightmare",2010-08-03T05:14:43+00:00,zogby_052110:37541,"2010 Demographic Survey",Male,Yes,35-49,45-64,1752,"High income",$100+,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Mod,5,Other/None,,Married,Married,48.00,Yes,Yes,Rarely,"Not Important",Yes,Massachusetts,"1,152,693","White Dem","Married Male","52,600",Total,No,Yes,1,"Very likely",Moderate,Yes,22,22,Woodstockers,Yes,Obama,7,Yes,No,,Yes,No,Yes,"Not sure",,No,Yes,Obama,Democratic,"Several times a week",Obama,"About once a week",Democratic,"About once a week",Yes,Yes,No/NS
"DID NOT HAVE ANY",4,"Dream Text: Worst Nightmare",2010-08-03T05:12:21+00:00,zogby_052110:13740,"2010 Demographic Survey",Male,No,65+,65+,33175,"Upper-middle income",$75-100K,"Hispanic or Latino","College Degree",Col+,Hisp,South,"College Degree+",2,Libert,7,Other/None,,Married,Married,65.00,Yes,No,Never,"Somewhat important",No/NS,Florida,"1,197,172","Hisp Rep","Married Male","52,382",Total,Yes,"NS/not religious or spiritual",0,"Very likely",Libert,No,22,22,Privates,,McCain,7,Yes,No,,"Not sure","Not sure",Yes,Yes,,No,Yes,McCain,Republican,"1 to 3 times a month",McCain,Never,Republican,"Less than once a month",Yes,No,Yes
"child was dead",3,"Dream Text: Worst Nightmare",2010-08-03T05:12:53+00:00,zogby_052110:24361,"2010 Demographic Survey",Female,Yes,50-64,45-64,18509,"Middle income",$50-75K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Mod,6,Other/None,,Married,Married,52.00,Yes,No,Rarely,"Not Important",No/NS,Pennsylvania,"975,383","White Rep","Married Female","52,897",Total,No,Yes,0,"Very likely",Moderate,Yes,22,22,Woodstockers,,McCain,9,No,No,,,Yes,Yes,Yes,,No,Yes,McCain,Republican,"Once a week",McCain,Never,Republican,"Less than once a month",Yes,No,No/NS
"I was being chased in this huge building with lots of doors. No matter which door I went into, the chaser (whom I never saw but knew was out to kill me)would either be in the room or right behind me. When I tried to scream for help, no sound came out my mouth. I woke up screaming HELP over and over.",63,"Dream Text: Worst Nightmare",2010-08-03T05:14:53+00:00,zogby_052110:39010,"2010 Demographic Survey",Female,Yes,50-64,45-64,30802,"High income",$100+,White,"College Degree",Col+,White,South,"College Degree+",1,Cons,6,Protestant,Yes,Married,Married,60.00,Yes,No,Weekly,"Somewhat important",No/NS,Georgia,"1,095,825","White Rep","Married Female","53,016",Total,No,Yes,2,"Very likely",Conservative,Yes,22,22,Woodstockers,,Obama,8,Yes,No,,No,No,No,"Not sure",,No,Yes,Obama,Republican,"Less often than once a month",Obama,Never,Republican,"Less than once a month",Yes,Yes,No/NS
"Worst would be living through the death and burial of spouse or parents or both, feeling the despair and anguish of missing them while knowing that this is a dream and should not be felt.",35,"Dream Text: Worst Nightmare",2010-08-03T05:12:25+00:00,zogby_052110:14964,"2010 Demographic Survey",Male,Yes,35-49,30-44,45040,"High income",$100+,"Black or African American","College Degree",Col+,AfrAmer,Midwest,"College Degree+",3,Cons,8,Protestant,Yes,Married,Married,39.00,Yes,Yes,Weekly,"Very important",Yes,Ohio,"1,121,361","AA Rep","Married Male","53,000",Total,Yes,Yes,1,"Very likely",Conservative,Yes,22,22,Nikes,No,McCain,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,McCain,Republican,Never,McCain,"Less than once a month",Republican,"About once a week",No,Yes,No/NS
"I am running along a path when I suddenly fall into a hole and at the bottom are all kinds and sizes of snakes. I catch a small branch just before I reach the bottom and the snakes began to strike at me.I manage to evade being bitten for the longest time, when suddenly they began to climb up the sides of the pit and get to where I was in range for them to bite me and I awoke.",80,"Dream Text: Worst Nightmare",2010-08-03T05:13:22+00:00,zogby_052110:28083,"2010 Demographic Survey",Male,Yes,65+,65+,72116,"Low income",$25-35K,White,"Some College",SomeCol,White,South,"No College Degree",1,VCons,"Extremely conservative",Other/None,,Married,Married,67.00,Yes,No,Weekly+,"Somewhat important",No/NS,Arkansas,"924,297","White Rep","Married Male","53,313",Total,Yes,No,2,"Very likely",Conservative,No,22,22,Privates,Yes,McCain,"5 or less",No,No,,,Yes,No,No,No,Yes,Yes,McCain,Republican,"Less often than once a month",McCain,"Less than once a month",Republican,"Less than once a month",Yes,Yes,No/NS
"Being attacked by a constricting snake and choked to death.",10,"Dream Text: Worst Nightmare",2010-08-03T05:12:24+00:00,zogby_052110:14513,"2010 Demographic Survey",Male,Yes,65+,65+,8099,"Low income",$25-35K,"Black or African American","Some College",SomeCol,AfrAmer,Northeast,"No College Degree",3,Mod,4,Other/None,,D/W/S,Divorced/separated,65.00,No,No,Rarely,"Not Important",Yes,"New Jersey","1,052,872","AA Dem","Other Male","53,592",Total,Yes,Yes,3,"Very likely",Moderate,"Not sure",22,22,Privates,,Obama,7,Yes,No,,"Not sure",Yes,No,"Not sure",,"Not sure",Yes,Obama,Democratic,"Several times a week",Obama,"About once a week",Democratic,Never,Yes,"Not sure",No/NS
"My worst nightare was from about 10 or 11 years old. in real life, my parents bought this little brown tin toy pig. They used to display it on the mantle of the fireplace. Well, one night I dreamt it was evil/possessed and started moving around the house. The next thing I remember in the dream was that my sister and I were in the back seat of a car - the car was going up our street, but no one was driving it - it was driving by itself. I looked over to my sister, and she had an egg sack over her head with glowing little round eggs inside of the sack kind of like fish eggs. The egg sack looked like a chinese lantern plant, kind of white sheer. she couldn't get it off, and I knew it was taking over her brain and the eggs were infesting her. I looked up at the wheel, no one there, the car under some other power, driving itself. Then I looked on the back seat, and there was the little brown tin pig, eveil, a tool of the devil. Even to this day I am deathly scared of that toy pig - they still have it...",205,"Dream Text: Worst Nightmare",2010-08-03T05:14:52+00:00,zogby_052110:38850,"2010 Demographic Survey",Female,Yes,35-49,30-44,60538,"Middle income",$50-75K,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Lib,2,Other/None,,D/W/S,Divorced/separated,44.00,Yes,No,Rarely,"Somewhat important",No/NS,Illinois,"363,835","White Dem","Other Female","53,839",Total,Yes,Yes,2,"Very likely",Liberal,Yes,22,22,Nikes,"Not sure",Obama,6.5,Yes,No,,No,No,Yes,No,"Not sure",No,Yes,Obama,Democratic,"Several times a week",Obama,"Two or three times a month",Democratic,"About once a week",Yes,Yes,No/NS
"A dream in which I am falling but never hit bottom",11,"Dream Text: Worst Nightmare",2010-08-03T05:14:44+00:00,zogby_052110:37667,"2010 Demographic Survey",Male,No,50-64,45-64,18067,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Mod,5,Protestant,No/NS,Married,Married,64.00,No,No,1-2/Mo,"Not Important",Yes,Pennsylvania,"963,455","White Dem","Married Male","53,969",Total,"Not sure",No,1,"Very likely",Moderate,No,22,22,Woodstockers,,Obama,7.5,Yes,No,,Yes,Yes,Yes,No,,"Not sure",Yes,Obama,Democratic,"Several times a week",Obama,"Less than once a month",Democratic,Never,No,No,No/NS
"thinking my mother was in trouble and yelling for me",10,"Dream Text: Worst Nightmare",2010-08-03T05:14:26+00:00,zogby_052110:35411,"2010 Demographic Survey",Female,Yes,50-64,45-64,20707,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Mod,5,Protestant,No/NS,Married,Married,60.00,Yes,No,Weekly,"Not Important",No/NS,Maryland,"423,125","White Dem","Married Female","53,639",Total,No,No,1,"Very likely",Moderate,Yes,22,22,Woodstockers,No,McCain,6.5,Yes,No,,No,Yes,Yes,Yes,,No,Yes,McCain,Democratic,"Less often than once a month",McCain,Never,Democratic,Never,Yes,No,No/NS
"A grandchild drowned",3,"Dream Text: Worst Nightmare",2010-08-03T05:14:53+00:00,zogby_052110:38978,"2010 Demographic Survey",Female,No,65+,65+,37934,,,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Cons,6,Protestant,No/NS,Married,Married,72.00,Yes,No,Weekly,"Somewhat important",Yes,Tennessee,"962,265","White Rep","Married Female","53,652",Total,Yes,No,0,"Very likely",Conservative,No,22,22,Privates,,McCain,7.5,Yes,No,,No,Yes,Yes,No,No,No,Yes,McCain,Republican,"Several times a week",McCain,"Less than once a month",Republican,"Less than once a month",Yes,No,No/NS
"Do Not Remember",3,"Dream Text: Worst Nightmare",2010-08-03T05:13:36+00:00,zogby_052110:29670,"2010 Demographic Survey",Male,No,50-64,45-64,17057,"Upper-middle income",$75-100K,White,"Some College",SomeCol,White,Northeast,"No College Degree",1,Cons,7,Other/None,,Married,Married,56.00,Yes,No,Rarely,"Somewhat unimportant",No/NS,Pennsylvania,"75,715","White Rep","Married Male","54,228",Total,"Not sure","NS/not religious or spiritual","Not sure","Very likely",Conservative,No,22,22,Woodstockers,,McCain,7,No,No,,,No,No,No,,No,Yes,McCain,Republican,"Not sure",McCain,"Not sure",Republican,Never,No,No,No/NS
"That my husband cheated on me and he wanted a divorce. I was very upset!!! He kept telling me he wanted a divorce and I was crying and asking him to work it out. I remember him kissing another woman in a corridor, like high school, and they saw me and didn't care.",53,"Dream Text: Worst Nightmare",2010-08-03T05:13:27+00:00,zogby_052110:28753,"2010 Demographic Survey",Female,No,35-49,30-44,95648,"High income",$100+,White,"Some College",SomeCol,White,West,"No College Degree",1,Prog,"Extremely liberal",Other/None,,Married,Married,43.00,Yes,No,Never,"Not Important",No/NS,California,"1,165,671","White Dem","Married Female","54,415",Total,Yes,Yes,0,"Very likely",Liberal,Yes,22,22,Nikes,,Obama,6,Yes,Yes,Yes,No,No,Yes,Yes,,No,Yes,Obama,Democratic,"Once a week",Obama,"Less than once a month",Democratic,"Less than once a month",No,Yes,No/NS
"I don't remember anything in the dreams, except for being buried alive or being closed in a very small place, so small I could not move.",26,"Dream Text: Worst Nightmare",2010-08-03T05:15:00+00:00,zogby_052110:39771,"2010 Demographic Survey",Female,No,65+,65+,35222,"Low income",$25-35K,White,"College Degree",Col+,White,South,"College Degree+",1,Cons,8,Protestant,Yes,Single,"Single, never married",1,Yes,No,Rarely,"Somewhat important",No/NS,Alabama,"1,045,579","White Rep","Other Female","54,539",Total,Yes,No,3,"Very likely",Conservative,No,22,22,Privates,Yes,McCain,7.5,No,No,,,No,Yes,No,,No,Yes,McCain,Republican,Never,McCain,Never,Republican,Never,No,No,No/NS
"The recurrent dream mentioned in the previous questions. That dream has not happen in quite some time.",17,"Dream Text: Worst Nightmare",2010-08-03T05:12:11+00:00,zogby_052110:9712,"2010 Demographic Survey",Male,Yes,65+,65+,33312,"Upper-middle income",$75-100K,"Hispanic or Latino","College Degree",Col+,Hisp,South,"College Degree+",2,Mod,3,Other/None,,Married,Married,68.00,Yes,No,Never,"Not Important",Yes,Florida,"323,828","Hisp Dem","Married Male","38,513",Total,Yes,Yes,3,"Very likely",Moderate,Yes,22,22,Privates,Yes,Obama,8,Yes,No,,"Not sure",No,Yes,No,No,Yes,Yes,Obama,Democratic,"Several times a week",Obama,"Several times a week",Democratic,"Two or three times a month",Yes,Yes,Yes
"I can remember falling.........probably why I'm afraid of heights today. Also remember being in a scary house......and always the same house....over and over.",26,"Dream Text: Worst Nightmare",2010-08-03T05:13:14+00:00,zogby_052110:26893,"2010 Demographic Survey",Female,Yes,65+,65+,96106,"High income",$100+,White,"Some College",SomeCol,White,West,"No College Degree",1,Libert,8,Protestant,No/NS,Married,Married,1.34,No,No,Rarely,"Not Important",Yes,California,"935,259","White Rep","Married Female","38,540",Total,No,Yes,0,"Very likely",Libert,Yes,22,22,Privates,Yes,McCain,8,Yes,No,,"Not sure",Yes,Yes,Yes,No,Yes,Yes,McCain,Republican,"Several times a week",McCain,"About once a week",Republican,"Two or three times a month",No,Yes,No/NS
"Being traped in a cave and no way out.",9,"Dream Text: Worst Nightmare",2010-08-03T05:12:59+00:00,zogby_052110:25138,"2010 Demographic Survey",Male,Yes,65+,65+,44030,"Middle income",$50-75K,White,"Some College",SomeCol,White,Midwest,"No College Degree",1,Mod,4,Protestant,No/NS,Married,Married,67.00,Yes,No,Holidays,"Not Important",No/NS,Ohio,"1,016,389","White Dem","Married Male","38,636",Total,Yes,No,2,"Very likely",Moderate,No,22,22,Privates,No,Obama,6,Yes,No,,Yes,No,No,No,No,No,Yes,Obama,Democratic,"1 to 3 times a month",Obama,"Less than once a month",Democratic,Never,No,No,No/NS
"The one described above was it.",6,"Dream Text: Worst Nightmare",2010-08-03T05:13:13+00:00,zogby_052110:26741,"2010 Demographic Survey",Male,No,50-64,45-64,30277,,,White,"College Degree",Col+,White,South,"College Degree+",1,Cons,7,Protestant,No/NS,Married,Married,51.00,Yes,No,Weekly,"Very important",No/NS,Georgia,"1,111,799","White Rep","Married Male","38,610",Total,Yes,Yes,0,"Very likely",Conservative,No,22,22,Woodstockers,"Not sure",McCain,6,No,No,,,No,No,No,,"Not sure",Yes,McCain,Republican,"Less often than once a month",McCain,"Less than once a month",Republican,"Less than once a month",No,No,No/NS
"Burning up",2,"Dream Text: Worst Nightmare",2010-08-03T05:13:12+00:00,zogby_052110:26708,"2010 Demographic Survey",Male,Yes,50-64,45-64,95722,"High income",$100+,White,"Some College",SomeCol,White,West,"No College Degree",1,Mod,7,Protestant,No/NS,Married,Married,0.76,Yes,No,Weekly,"Not Important",Yes,California,"1,042,247","White Ind","Married Male","38,653",Total,"Not sure",Yes,1,"Very likely",Moderate,Yes,22,22,Woodstockers,,McCain,7,No,No,,,Yes,No,No,Yes,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Once a week",McCain,"Less than once a month",Independent,"Two or three times a month",No,Yes,No/NS
"Being with my husband and newborn son trying to flee from the country. We had been invaded by a foreign country and were being defeated. The only safe way to escape was through California/San Diego to MExico. We were literally at the border when I realized that our 11 yr old daughter had been separated from us and we had no opportunity to go back to get her.",69,"Dream Text: Worst Nightmare",2010-08-03T05:14:11+00:00,zogby_052110:33574,"2010 Demographic Survey",Female,No,50-64,45-64,45040,"High income",$100+,Other,"College Degree",Col+,Other,Midwest,"College Degree+",0,VCons,8,Protestant,Yes,Married,Married,52.00,Yes,No,Weekly,"Very important",Yes,Ohio,"944,695",Other,"Married Female","38,807",Total,"Not sure",No,2,"Very likely",Conservative,Yes,22,22,Woodstockers,No,McCain,7,No,No,,,No,Yes,"Not sure",No,No,Yes,McCain,Republican,"Several times a week",McCain,"Two or three times a month",Republican,"About once a week",Yes,Yes,No/NS
"Dead and layed out in a casket",7,"Dream Text: Worst Nightmare",2010-08-03T05:14:08+00:00,zogby_052110:33079,"2010 Demographic Survey",Female,No,65+,65+,3743,"Low income",$25-35K,Other,"High School Degree",HSGrad,Other,Northeast,"No College Degree",0,Mod,5,Other/None,,Married,Married,70.00,Yes,No,Rarely,"Not Important",No/NS,"New Hampshire","1,096,735",Other,"Married Female","39,029",Total,No,No,1,"Very likely",Moderate,No,22,22,Privates,No,Obama,7,Yes,No,,No,No,No,No,No,No,Yes,Obama,Democratic,"Less often than once a month",Obama,"Less than once a month",Democratic,"Less than once a month",Yes,No,No/NS
"I am outdoors, in the dark, running away from something or someone. All of a sudden I stepped into space and felt like I was falling off a cliff. Then I woke up. I get this dream occasionally and it is always the same. I don't know what/who I am running from, just that I am running away. I always fall off the surface I am running on and always wake up, never finding out if I harm myself or someone elel",83,"Dream Text: Worst Nightmare",2010-08-03T05:13:56+00:00,zogby_052110:31840,"2010 Demographic Survey",Female,Yes,65+,65+,91311,"Middle income",$50-75K,White,"College Degree",Col+,White,West,"College Degree+",1,Prog,3,Jewish,,Single,"Single, never married",66.00,Yes,No,Never,"Not Important",No/NS,California,"1,118,309","White Dem","Other Female","38,465",Total,Yes,"NS/not religious or spiritual",7,"Very likely",Liberal,No,22,22,Privates,Yes,Obama,"5 or less","Not sure",No,,,Yes,Yes,No,Yes,Yes,Yes,Obama,Democratic,"Once a week",Obama,"Less than once a month",Democratic,"Less than once a month",Yes,Yes,No/NS
"Being chased by something scary...trying to scream for help but no sound came out.",15,"Dream Text: Worst Nightmare",2010-08-03T05:14:00+00:00,zogby_052110:32275,"2010 Demographic Survey",Female,Yes,50-64,45-64,32073,"Low-middle income",$35-50K,White,"College Degree",Col+,White,South,"College Degree+",1,Cons,6,Protestant,No/NS,D/W/S,Divorced/separated,62.00,No,No,1-2/Mo,"Somewhat important",No/NS,Florida,"983,629","White Rep","Other Female","39,172",Total,No,Yes,1,"Very likely",Conservative,Yes,22,22,Woodstockers,Yes,McCain,7,Yes,No,,No,Yes,Yes,Yes,,No,Yes,McCain,Republican,"Almost every morning or more often",McCain,"Less than once a month",Republican,"Less than once a month",Yes,Yes,No/NS
"don't remember",2,"Dream Text: Worst Nightmare",2010-08-03T05:14:14+00:00,zogby_052110:34036,"2010 Demographic Survey",Male,No,50-64,45-64,91301,"Low income","< $25K",White,"College Degree",Col+,White,West,"College Degree+",1,Cons,7,Catholic,,D/W/S,Divorced/separated,61.00,Yes,No,Holidays,"Somewhat important",Yes,California,"1,020,953","White Ind","Other Male","39,209",Total,No,Yes,0,"Very likely",Conservative,No,22,22,Woodstockers,,Other,7,Yes,No,,No,No,No,No,,No,Yes,"Someone else",Independent/unenrolled/Unaffiliated,"Less often than once a month",Other,"Less than once a month",Independent,Never,No,No,No/NS
"That my son was drowning",5,"Dream Text: Worst Nightmare",2010-08-03T05:13:37+00:00,zogby_052110:29881,"2010 Demographic Survey",Male,No,65+,65+,77019,"Middle income",$50-75K,White,"Some College",SomeCol,White,South,"No College Degree",1,Cons,8,Protestant,No/NS,D/W/S,Divorced/separated,73.00,Yes,Yes,Rarely,"Somewhat important",Yes,Texas,"905,957","White Rep","Other Male","39,271",Total,No,Yes,2,"Very likely",Conservative,No,22,22,Privates,,McCain,7,Yes,No,,No,Yes,Yes,"Not sure",,No,Yes,McCain,Republican,"Less often than once a month",McCain,Never,Republican,Never,No,No,No/NS
"My husband and I were being shot during a home invasion.",11,"Dream Text: Worst Nightmare",2010-08-03T05:13:39+00:00,zogby_052110:29990,"2010 Demographic Survey",Female,Yes,50-64,45-64,95667,"Middle income",$50-75K,White,"High School Degree",HSGrad,White,West,"No College Degree",1,Lib,3,Other/None,,Married,Married,55.00,Yes,No,Rarely,"Not Important",Yes,California,"60,623","White Dem","Married Female","39,387",Total,Yes,No,1,"Very likely",Liberal,Yes,22,22,Woodstockers,,McCain,7,Yes,No,,"Not sure",Yes,Yes,No,,No,Yes,McCain,Democratic,"Several times a week",McCain,"Less than once a month",Democratic,"Less than once a month",Yes,Yes,No/NS
"The worst nightmare I can remember is one in which I watched my dad die. It was a natural death in a hospital, but I was still so sad and felt such a crushing sense of responsibility for my mom and brother.",42,"Dream Text: Worst Nightmare",2010-08-03T05:11:53+00:00,zogby_052110:350,"2010 Demographic Survey",Female,Yes,25-34,30-44,73013,"High income",$100+,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Prog,"Extremely liberal",Other/None,,Married,Married,30.00,No,No,Never,"Not Important",No/NS,Oklahoma,"1,183,463","White Dem","Married Female","39,425",Total,Yes,Yes,0,"Very likely",Liberal,Yes,22,22,"First Globals",,Obama,9.5,Yes,No,,"Not sure",Yes,Yes,Yes,No,No,Yes,Obama,Democratic,"Almost every morning or more often",Obama,"Less than once a month",Democratic,"Less than once a month",No,Yes,No/NS
"being chased by ""Mr Sardonicus""",5,"Dream Text: Worst Nightmare",2010-08-03T05:13:55+00:00,zogby_052110:31649,"2010 Demographic Survey",Female,"Not sure",50-64,45-64,14607,"Low income",$25-35K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Mod,4,Protestant,No/NS,D/W/S,Divorced/separated,58.00,Yes,No,1-2/Mo,"Not Important",No/NS,"New York","1,072,431","White Ind","Other Female","39,560",Total,Yes,Yes,0,"Very likely",Moderate,"Not sure",22,22,Woodstockers,No,Obama,7.5,Yes,No,,"Not sure",Yes,Yes,"Not sure",No,No,Yes,Obama,Independent/unenrolled/Unaffiliated,"Once a week",Obama,"Less than once a month",Independent,"Not sure",Yes,No,No/NS
"After I saw Ted Bundy in person at the Kimberly Leach trial in Orlando in 1980, I have had recurring nightmares about him stalking and killing me. I still occasionally wake up and have to go on the internet, and look at a picture of his corpse in order to calm down and go back to sleep.",57,"Dream Text: Worst Nightmare",2010-08-03T05:12:42+00:00,zogby_052110:21537,"2010 Demographic Survey",Female,Yes,35-49,45-64,32901,"Low income",$25-35K,"Hispanic or Latino","Some College",SomeCol,Hisp,South,"No College Degree",2,Libert,5,Other/None,,Married,Married,49.00,Yes,No,Weekly+,"Not Important",No/NS,Florida,"74,392","Hisp ind","Married Female","39,501",Total,Yes,Yes,7,"Very likely",Libert,Yes,22,22,Woodstockers,Yes,Obama,6,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,Obama,Libertarian,"Several times a week",Obama,"Several times a week",Independent,"Several times a week",Yes,Yes,Yes
"I dreamed a group of kids in our neighborhood were hit by a train.",14,"Dream Text: Worst Nightmare",2010-08-03T05:14:10+00:00,zogby_052110:33503,"2010 Demographic Survey",Female,Yes,35-49,45-64,"Refused to answer","Low income",$25-35K,Other,"Some College",SomeCol,Other,South,"No College Degree",0,Libert,6,Protestant,Yes,D/W/S,Divorced/separated,48.00,Yes,No,Never,"Not sure",No/NS,Arkansas,"1,029,941",Other,"Other Female","39,548",Total,No,Yes,0,"Very likely",Libert,No,22,22,Woodstockers,Yes,Other,8.5,Yes,No,,"Not sure",Yes,Yes,Yes,No,Yes,Yes,"Someone else",Republican,"Almost every morning or more often",Other,Never,Republican,"Less than once a month",No,No,No/NS
"as a teenager I had read a murder mystery and then dreamed my Mother and brother were shot and I realized how much I loved them.",26,"Dream Text: Worst Nightmare",2010-08-03T05:14:01+00:00,zogby_052110:32462,"2010 Demographic Survey",Female,Yes,65+,65+,30165,"Middle income",$50-75K,White,"Some College",SomeCol,White,South,"No College Degree",1,VCons,"Extremely conservative",Protestant,Yes,D/W/S,Widowed,66.00,Yes,No,Weekly+,"Somewhat important",Yes,Georgia,"1,113,437","White Rep","Other Female","39,681",Total,"Not sure",Yes,2,"Very likely",Conservative,No,22,22,Privates,No,McCain,7.5,Yes,No,,Yes,No,Yes,No,,No,Yes,McCain,Republican,"Less often than once a month",McCain,"Less than once a month",Republican,"Less than once a month",Yes,Yes,No/NS
"I'd rather not.",3,"Dream Text: Worst Nightmare",2010-08-03T05:13:55+00:00,zogby_052110:31694,"2010 Demographic Survey",Male,Yes,50-64,45-64,40505,"Low income","< $25K",Other,"College Degree",Col+,Other,Midwest,"College Degree+",0,,,Other/None,,Married,Married,56.00,Yes,No,Never,"Not Important",No/NS,Kentucky,"1,008,829",Other,"Married Male","39,785",Total,Yes,No,2,"Very likely",,Yes,22,22,Woodstockers,,Obama,7,Yes,No,,Yes,No,Yes,No,,Yes,Yes,Obama,Independent/unenrolled/Unaffiliated,"Less often than once a month",Obama,"Two or three times a month",Independent,"Less than once a month",Yes,Yes,No/NS
"Large, Chineese New Year like faces with threating looks floating in the air or on dragon-like bodies.",18,"Dream Text: Worst Nightmare",2010-08-03T05:13:09+00:00,zogby_052110:26288,"2010 Demographic Survey",Male,No,50-64,45-64,44124,"Middle income",$50-75K,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Lib,2,Jewish,,Married,Married,60.00,No,No,Holidays,"Not Important",Yes,Ohio,"1,028,093","White Dem","Married Male","39,759",Total,No,"NS/not religious or spiritual",3,"Very likely",Liberal,No,22,22,Woodstockers,No,Obama,8,No,No,,,No,Yes,"Not sure",No,No,Yes,Obama,Democratic,"Once a week",Obama,Never,Democratic,"Two or three times a month",Yes,No,No/NS
"When my youngest son was a teenager I dreamed that he was on a very high building that was under construction. He was walking backward toward a precipice. I was terrified. He was having problems at the time and the dream convinced me that I had to do something to help him.",52,"Dream Text: Worst Nightmare",2010-08-03T05:13:23+00:00,zogby_052110:28197,"2010 Demographic Survey",Female,Yes,65+,65+,64139,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Lib,3,Catholic,,Married,Married,77.00,Yes,No,Weekly+,"Not Important",No/NS,Missouri,"882,031","White Dem","Married Female","39,881",Total,"Not sure",Yes,0,"Very likely",Liberal,Yes,22,22,Privates,No,Obama,7,Yes,No,,No,"Not sure",Yes,"Not sure",No,No,Yes,Obama,Democratic,"Less often than once a month",Obama,"Less than once a month",Democratic,"Less than once a month",Yes,Yes,No/NS
